2026-03-21 05:18:39.326 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:18:43.081 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:18:53.944 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:18:59.225 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:02.627 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:07.520 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:15.382 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:23.616 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:28.829 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:35.867 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:39.603 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:49.017 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:50.902 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:53.506 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:19:57.672 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:01.021 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:03.664 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:17.913 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:22.361 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:49.192 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:55.092 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:20:57.669 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:01.351 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:04.709 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:08.067 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:15.445 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:18.423 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:25.446 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:27.621 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:30.543 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:21:32.018 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:23:21.630 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:23:25.670 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:24:12.324 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:27:29.209 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:27:29.590 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:32:01.094 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:32:50.658 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:33:32.757 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:34:48.826 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:39:08.776 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:40:43.469 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:41:25.548 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:43:27.111 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:44:50.863 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:45:56.177 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:46:08.289 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:46:30.307 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:03.385 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:12.398 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:18.868 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:29.492 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:37.265 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:47.857 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:51.988 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:57.620 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:48:59.522 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:49:04.859 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:49:27.044 [2792408] [app] [WARN ] [engine.hot-reload] detected scene change but could not reload active scene id=intro-difficulty-select: failed to read mod manifest from mods/shell-quest/scenes/intro-difficulty-select.yml: No such file or directory (os error 2)
2026-03-21 05:49:30.065 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:49:36.079 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:49:45.290 [2792408] [app] [WARN ] [engine.hot-reload] detected scene change but could not reload active scene id=intro-difficulty-select: failed to read mod manifest from mods/shell-quest/scenes/intro-difficulty-select.yml: No such file or directory (os error 2)
2026-03-21 05:49:49.927 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:07.957 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:11.038 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:15.535 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:17.829 [2792408] [app] [WARN ] [engine.hot-reload] detected scene change but could not reload active scene id=intro-difficulty-select: failed to read mod manifest from mods/shell-quest/scenes/intro-difficulty-select.yml: No such file or directory (os error 2)
2026-03-21 05:50:19.360 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:26.158 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:31.739 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:37.729 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:44.049 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:46.170 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:51.146 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:54.569 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:50:57.678 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:00.560 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:11.150 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:13.791 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:22.695 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:30.044 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:34.159 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:41.762 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:44.805 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:51:59.346 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:01.832 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:02.982 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:10.867 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:13.835 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:17.563 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:22.574 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:29.257 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:48.495 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:55.907 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:58.138 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:52:59.999 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:05.604 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:11.602 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:22.045 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:29.949 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:42.869 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:46.553 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:53:56.023 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:54:00.983 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:54:20.398 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:54:23.243 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:54:38.333 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:54:41.546 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:54:54.151 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:55:03.927 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:55:11.330 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 05:57:51.257 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 06:00:26.059 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 06:02:12.560 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 06:02:12.921 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 06:03:21.463 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 06:08:45.838 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
2026-03-21 06:12:43.106 [2792408] [app] [INFO ] [engine.hot-reload] reloaded active scene in debug mode: id=intro-difficulty-select
